site_id,name,country,iso_code,category,date_inscribed,latitude,longitude
1,Galápagos Islands,Ecuador,EC,Natural,1978,-0.7500,-90.5000
28,Yellowstone National Park,United States of America,US,Natural,1978,44.4280,-110.5885
39,Ngorongoro Conservation Area,United Republic of Tanzania,TZ,Mixed,1979,-3.2000,35.5000
75,Grand Canyon National Park,United States of America,US,Natural,1979,36.1069,-112.1129
80,Mont-Saint-Michel and its Bay,France,FR,Cultural,1979,48.6361,-1.5115
86,Memphis and its Necropolis - the Pyramid Fields from Giza to Dahshur,Egypt,EG,Cultural,1979,29.9773,31.1325
91,Historic Centre of Rome,Italy,IT,Cultural,1980,41.8902,12.4922
154,Great Barrier Reef,Australia,AU,Natural,1981,-18.2871,147.6992
156,Serengeti National Park,United Republic of Tanzania,TZ,Natural,1981,-2.3333,34.8333
166,Sydney Opera House,Australia,AU,Cultural,2007,-33.8568,151.2153
252,Taj Mahal,India,IN,Cultural,1983,27.1751,78.0421
274,Historic Sanctuary of Machu Picchu,Peru,PE,Mixed,1983,-13.1631,-72.5450
286,Vatican City,Holy See,VA,Cultural,1984,41.9029,12.4534
292,Cologne Cathedral,Germany,DE,Cultural,1996,50.9413,6.9583
303,Iguazu National Park,Argentina,AR,Natural,1984,-25.6953,-54.4367
307,Statue of Liberty,United States of America,US,Cultural,1984,40.6892,-74.0445
320,Works of Antoni Gaudí,Spain,ES,Cultural,1984,41.4036,2.1744
326,Petra,Jordan,JO,Cultural,1985,30.3285,35.4444
357,Göreme National Park and the Rock Sites of Cappadocia,Türkiye,TR,Mixed,1985,38.6431,34.8283
364,Great Zimbabwe National Monument,Zimbabwe,ZW,Cultural,1986,-20.2674,30.9346
373,"Stonehenge, Avebury and Associated Sites",United Kingdom of Great Britain and Northern Ireland,GB,Cultural,1986,51.1789,-1.8262
394,Venice and its Lagoon,Italy,IT,Cultural,1987,45.4380,12.3270
403,Kilimanjaro National Park,United Republic of Tanzania,TZ,Natural,1987,-3.0674,37.3556
404,"Acropolis, Athens",Greece,GR,Cultural,1987,37.9715,23.7257
421,Tongariro National Park,New Zealand,NZ,Mixed,1990,-39.2817,175.5685
438,The Great Wall,China,CN,Cultural,1987,40.4319,116.5704
447,Uluru-Kata Tjuta National Park,Australia,AU,Mixed,1987,-25.3444,131.0369
483,Pre-Hispanic City of Chichen-Itza,Mexico,MX,Cultural,1988,20.6829,-88.5686
545,"Kremlin and Red Square, Moscow",Russian Federation,RU,Cultural,1990,55.7520,37.6175
661,Himeji-jo,Japan,JP,Cultural,1993,34.8394,134.6939
662,Yakushima,Japan,JP,Natural,1993,30.3583,130.5230
663,Shirakami-Sanchi,Japan,JP,Natural,1993,40.4500,140.0500
668,Angkor,Cambodia,KH,Cultural,1992,13.4125,103.8660
715,Rapa Nui National Park,Chile,CL,Cultural,1995,-27.1127,-109.3497
1033,Historic Centre of Vienna,Austria,AT,Cultural,2001,48.2092,16.3728
1418,Fujisan sacred place and source of artistic inspiration,Japan,JP,Cultural,2013,35.3606,138.7274
